timestamp,tip_usluge,paket,termin,ime_prezime,email,napomena
2026-02-12T14:38:48.687820,flydesk,5 dana,24.3.2026,ema ema,ema@gmail.com,nema napomene
2026-02-12T14:56:56.076076,uredski prostor,09,mjesec,1.4.2026,ema ema,ema@gmail.com,nemam
2026-02-12T15:02:25.295516,uredski prostor,05,mjesec,1.4.2026,ema ea,ema@gmail.com,nemam,da
2026-02-12T15:50:22.750526,uredski prostor,04,mjesec,,1.4.2026,em a ema,ema@gamil,nema,da
2026-02-12T16:05:04.572894,flydesk,,dan,1.4.2026,,ema ema,"ema@gmail,com",nema,da
2026-02-12T16:05:44.158836,flydesk,,3 mjeseca,1.4.2026,,ema ema,ema@gmail.com,nemam,da
2026-02-12T16:24:29.342841,flydesk,,10 dana,1.4.2024,,ema fabac,ema@gamil.dom,nemam,da
2026-02-12T16:29:42.729144,flydesk,,dan,23.3.2026,,ema,"ema @gmail,cmo",nem,da
2026-02-12T16:30:17.185310,flydesk,,dan,3.3.2026,,ema fabac,"ema@gmail,com",nemam,da
2026-02-12T16:39:24.142112,flydesk,,dan,23.3,,ema fabac,"ema@gmail,com",nemam,da
2026-02-12T16:43:58.853245,flydesk,,dan,2.2,,em,aema@gmail.com,nemam,da
2026-02-12T16:44:58.697318,flydesk,,3 mjeseca,2.2,,ema fa,ema@hmaol,potrebno za učenje,da
2026-02-12T16:55:57.454448,sala,,dan,1.2.30,,em,aema@gail,za ucenje,da
2026-02-12T16:56:37.907946,flydesk,,5 dana,2.2,,d,da@g,ucejeđ,da
2026-02-12T17:57:29.968627,flydesk,,5 dana,1.2,,em,a@ham,ucenjeđ,da
2026-02-12T18:20:39.795320,flydesk,,5 dana,1.1,,ema,ema,ucenje,da
2026-02-12T18:28:46.916037,flydesk,,3 mjeseca,1.4,,ema,ema@gmail.com,učenje,da
